name,param_idx,estimate,bca_lo,bca_hi,pc_lo,pc_hi,excludes_zero,p_bca,p_bca_label,p_bonferroni,p_bonferroni_label,p_holm,p_holm_label,p_fdr_bh,p_fdr_bh_label,n_admit,z0,acc
beta.precision.curr_main(L1-L2),4,-0.3823985818383,-1.1812751171983,0.410260225156317,-1.17004544178243,0.42112431726821,0,0.351845031756606,0.352,1,1.000,1,1.000,0.571748176604484,0.572,8274,-0.0145422284190443,-0.000724232124884702
beta.precision.curr_main(L1-L3),4,-1.90745207887327,-2.83667970665024,-0.83927444600779,-2.87400509808958,-0.879857001332454,1,0.00150386660095303,0.002**,0.156402126499115,0.156,0.150386660095303,0.150,0.0276575703250321,0.028*,9568,0.03406403598633,0.00346095582967509
beta.precision.curr_main(L2-L3),4,-1.52505349703497,-2.47375052304152,-0.595919831809836,-2.60895923424124,-0.701989598725907,1,0.00329572281348378,0.003**,0.342755172602313,0.343,0.322980835721411,0.323,0.0428875886214122,0.043*,8418,0.163908972606482,-0.0255415689462514
beta.precision.diag(L1L1-L2L2),4,0.189344861713468,-1.66878070908594,2.12533207926912,-1.66353774022945,2.13469592209107,0,0.822349881786766,0.822,1,1.000,1,1.000,0.897551088566767,0.898,9034,0.0138737474423658,-0.00865684716821683
beta.precision.diag(L1L1-L3L3),4,-1.41627598829041,-2.69162559191619,0.00186313640677817,-2.61181945280914,0.116029710646175,0,0.0503709473230971,0.050,1,1.000,1,1.000,0.209543140864084,0.210,9970,-0.0606286389426148,-0.00630393271257905
beta.precision.diag(L2L2-L3L3),4,-1.60562085000388,-3.1021229273299,0.724362479202358,-3.24497866342731,0.412073019249928,0,0.155694043738726,0.156,1,1.000,1,1.000,0.336546479824377,0.337,9049,0.0414242572765757,0.0333411859074781
beta.precision.offdiag(L1L2-L2L1),4,0.680567709596692,-1.18954040091576,1.93634360084898,-0.903969576311885,2.09349524418826,0,0.452745914541079,0.453,1,1.000,1,1.000,0.691900030742431,0.692,9698,-0.0649211889416249,-0.0394080755812584
beta.precision.offdiag(L1L3-L3L1),4,2.94604648018022,1.57306440175665,5.37916589046126,1.49469732451329,5.16143876994031,1,7.83204032595225e-06,<0.001***,0.000814532193899034,<0.001***,0.00079886811324713,<0.001***,0.000271510731299678,<0.001***,9721,-0.0318507287406222,0.0495919165614657
beta.precision.offdiag(L2L3-L3L2),4,1.43258005785328,-0.838196454939244,3.24060570810641,-0.542340303672385,3.46311875441275,0,0.186242492868101,0.186,1,1.000,1,1.000,0.365456967137406,0.365,9359,-0.0751973428462867,-0.017334509639275
beta.precision.cell_grand,4,-0.203072185383121,-1.27801701813531,0.230499568425612,-0.881492248659963,0.376895974958788,0,0.323341009039329,0.323,1,1.000,1,1.000,0.542378466775649,0.542,8203,-0.30744722568604,-0.0270327691234192
