subject_id,cell,param,influence,influence_abs
003,18,beta,0.0136450406789268,0.0136450406789268
004,1,A,0.0765519595158377,0.0765519595158377
004,1,w,-0.000251282928961462,0.000251282928961462
004,1,sigma,0.6161912173995,0.6161912173995
004,1,beta,-0.0940648740317553,0.0940648740317553
004,2,A,0.204904888130259,0.204904888130259
004,2,w,-0.000783391670514479,0.000783391670514479
004,2,sigma,1.38061027204088,1.38061027204088
004,2,beta,-0.279663450476997,0.279663450476997
004,3,A,0.180761636546297,0.180761636546297
004,3,w,9.43900577890233e-05,9.43900577890233e-05
004,3,sigma,1.52495961678112,1.52495961678112
004,3,beta,-0.251751681993695,0.251751681993695
004,4,A,0.0249521646835289,0.0249521646835289
004,4,w,0.000275217068538138,0.000275217068538138
004,4,sigma,0.690690888236279,0.690690888236279
004,4,beta,-0.332257449406855,0.332257449406855
004,5,A,0.105466122834915,0.105466122834915
004,5,w,0.000276151637859993,0.000276151637859993
004,5,sigma,1.15974247269445,1.15974247269445
004,5,beta,-0.207364044988323,0.207364044988323
004,6,A,0.013031359107428,0.013031359107428
004,6,w,0.000807974153828508,0.000807974153828508
004,6,sigma,1.22891153965299,1.22891153965299
004,6,beta,-0.0564901188697161,0.0564901188697161
004,7,A,-0.164053075552469,0.164053075552469
004,7,w,-0.00130665775235173,0.00130665775235173
004,7,sigma,1.2491126325081,1.2491126325081
004,7,beta,-0.0582339379545314,0.0582339379545314
004,8,A,0.246930719806388,0.246930719806388
004,8,w,4.4019133891824e-05,4.4019133891824e-05
004,8,sigma,1.29431580587093,1.29431580587093
004,8,beta,-0.4211230188749,0.4211230188749
004,9,A,-0.434669543323619,0.434669543323619
004,9,w,0.00168192003042411,0.00168192003042411
004,9,sigma,0.700621228144044,0.700621228144044
004,9,beta,-0.00564671141416984,0.00564671141416984
004,10,A,-0.116773518225913,0.116773518225913
004,10,w,0.000869255991173642,0.000869255991173642
004,10,sigma,0.986138633749173,0.986138633749173
004,10,beta,-0.0273716036170375,0.0273716036170375
004,11,A,-0.000858297854193779,0.000858297854193779
004,11,w,-0.000134479383336824,0.000134479383336824
004,11,sigma,0.25400317658837,0.25400317658837
004,11,beta,-0.167162364344291,0.167162364344291
004,12,A,-0.365303513026802,0.365303513026802
004,12,w,-0.000307330931544853,0.000307330931544853
004,12,sigma,1.41829341010084,1.41829341010084
004,12,beta,-0.500230378498842,0.500230378498842
004,13,A,0.0417419396956209,0.0417419396956209
004,13,w,0.00109143793754134,0.00109143793754134
004,13,sigma,1.5837785502062,1.5837785502062
004,13,beta,-0.22149302180298,0.22149302180298
004,14,A,-0.662152527630358,0.662152527630358
004,14,w,0.00100945526434438,0.00100945526434438
004,14,sigma,0.512290524800445,0.512290524800445
004,14,beta,-0.304123868027402,0.304123868027402
004,15,A,0.354289499495783,0.354289499495783
004,15,w,0.000258991198065585,0.000258991198065585
004,15,sigma,1.42080380838626,1.42080380838626
004,15,beta,-0.353961927625603,0.353961927625603
004,16,A,-0.405554596495379,0.405554596495379
004,16,w,-0.00159528364872348,0.00159528364872348
004,16,sigma,1.26611349831649,1.26611349831649
004,16,beta,-0.281387109000099,0.281387109000099
004,17,A,-0.492608405099804,0.492608405099804
004,17,w,0.000243160695593561,0.000243160695593561
004,17,sigma,0.634192535075043,0.634192535075043
004,17,beta,0.00860977883310432,0.00860977883310432
004,18,A,-0.313704144722108,0.313704144722108
004,18,w,-0.000485739543761066,0.000485739543761066
004,18,sigma,1.10679925818273,1.10679925818273
004,18,beta,-0.176809965777767,0.176809965777767
006,1,A,0.478511236791928,0.478511236791928
006,1,w,0.00143162746732919,0.00143162746732919
006,1,sigma,-0.498463537588577,0.498463537588577
006,1,beta,-0.0566778004458808,0.0566778004458808
006,2,A,-0.0211489891924153,0.0211489891924153
006,2,w,-0.00454939253423086,0.00454939253423086
006,2,sigma,-0.812020751304278,0.812020751304278
006,2,beta,0.506737873838979,0.506737873838979
006,3,A,-0.419265244538973,0.419265244538973
006,3,w,-4.89737019608791e-05,4.89737019608791e-05
006,3,sigma,-0.951487830686361,0.951487830686361
006,3,beta,0.00746945976572685,0.00746945976572685
006,4,A,0.0493837446832863,0.0493837446832863
006,4,w,-0.000308317654487151,0.000308317654487151
006,4,sigma,-0.958337387882967,0.958337387882967
006,4,beta,0.674960202777749,0.674960202777749
006,5,A,0.150921609462458,0.150921609462458
006,5,w,-0.000314195741128887,0.000314195741128887
006,5,sigma,-0.758538569379466,0.758538569379466
006,5,beta,0.0289692334070794,0.0289692334070794
006,6,A,0.289151098641254,0.289151098641254
006,6,w,0.000678874413453032,0.000678874413453032
006,6,sigma,-0.764702152949205,0.764702152949205
006,6,beta,0.359139257416376,0.359139257416376
006,7,A,0.0323621058079775,0.0323621058079775
006,7,w,-0.000291538374047242,0.000291538374047242
006,7,sigma,-1.51138255377861,1.51138255377861
006,7,beta,0.281323896243622,0.281323896243622
006,8,A,0.0354770670884825,0.0354770670884825
006,8,w,0.0010938818830998,0.0010938818830998
006,8,sigma,-1.31277785958972,1.31277785958972
006,8,beta,0.392789110374402,0.392789110374402
006,9,A,-0.0478957137021707,0.0478957137021707
006,9,w,-0.00139147590777809,0.00139147590777809
006,9,sigma,-0.530248721303025,0.530248721303025
006,9,beta,0.0198683781188895,0.0198683781188895
006,10,A,0.418106388771122,0.418106388771122
006,10,w,0.000606560144720505,0.000606560144720505
006,10,sigma,-0.699277054410892,0.699277054410892
006,10,beta,0.100952018029219,0.100952018029219
006,11,A,-0.162443076108012,0.162443076108012
006,11,w,-0.000433743835869874,0.000433743835869874
006,11,sigma,-1.04765089410909,1.04765089410909
006,11,beta,0.0591671278185896,0.0591671278185896
006,12,A,0.519243692131647,0.519243692131647
006,12,w,-0.000722408427063996,0.000722408427063996
006,12,sigma,-0.369355744941068,0.369355744941068
006,12,beta,-0.103947296386445,0.103947296386445
006,13,A,-0.0632659740759856,0.0632659740759856
006,13,w,-0.000419822237330093,0.000419822237330093
006,13,sigma,-1.19581893311073,1.19581893311073
006,13,beta,0.596353813531194,0.596353813531194
006,14,A,-0.186383200756024,0.186383200756024
006,14,w,-0.00140246625836089,0.00140246625836089
006,14,sigma,-0.394126432091221,0.394126432091221
